row,col,value
1.219000000000000000e+03,0.000000000000000000e+00,-1.153188302226704209e-01
1.240000000000000000e+03,0.000000000000000000e+00,-1.103846027146709208e+00
1.220000000000000000e+03,1.000000000000000000e+00,-8.856931912545048524e-01
1.241000000000000000e+03,1.000000000000000000e+00,-5.670890171704372484e-01
1.221000000000000000e+03,2.000000000000000000e+00,9.307382899916021302e-01
1.242000000000000000e+03,2.000000000000000000e+00,3.560636167911285233e-01
1.222000000000000000e+03,3.000000000000000000e+00,1.822460884493679600e-01
1.243000000000000000e+03,3.000000000000000000e+00,-9.850539043401529415e-01
1.223000000000000000e+03,4.000000000000000000e+00,-1.005224732723238423e+00
1.244000000000000000e+03,4.000000000000000000e+00,-3.015543395124700154e-01
1.224000000000000000e+03,5.000000000000000000e+00,-6.466123628753880914e-02
1.245000000000000000e+03,5.000000000000000000e+00,1.189960798134475306e+00
1.225000000000000000e+03,6.000000000000000000e+00,-4.138077714492839343e-01
1.246000000000000000e+03,6.000000000000000000e+00,9.846864811199006473e-01
1.226000000000000000e+03,7.000000000000000000e+00,3.813239265644877141e-01
1.247000000000000000e+03,7.000000000000000000e+00,9.504254360158568282e-01
1.227000000000000000e+03,8.000000000000000000e+00,9.815939750463484881e-01
1.248000000000000000e+03,8.000000000000000000e+00,-4.285797682155423893e-01
1.228000000000000000e+03,9.000000000000000000e+00,-4.647979000741389033e-01
1.249000000000000000e+03,9.000000000000000000e+00,-8.924155710871632952e-01
1.229000000000000000e+03,1.000000000000000000e+01,1.036338713480650098e+00
1.250000000000000000e+03,1.000000000000000000e+01,1.827164323572616489e-01
1.230000000000000000e+03,1.100000000000000000e+01,2.010083531049353667e+00
1.251000000000000000e+03,1.100000000000000000e+01,-4.060261848462069501e-01
1.231000000000000000e+03,1.200000000000000000e+01,-8.671938243469621277e-01
1.252000000000000000e+03,1.200000000000000000e+01,5.083744600988834295e-01
1.232000000000000000e+03,1.300000000000000000e+01,-8.779199704449638375e-01
1.253000000000000000e+03,1.300000000000000000e+01,-2.232720183783375445e-01
1.233000000000000000e+03,1.400000000000000000e+01,7.771260095964581671e-01
1.254000000000000000e+03,1.400000000000000000e+01,6.240299490719830589e-01
1.234000000000000000e+03,1.500000000000000000e+01,-6.594862095172703276e-01
